"party","Vote_change_dummy","Vote4","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","state","BioID","seniority_113","birthday","Geographical","nominate_dim1","nominate_dim2","Vote4_minus","Vote4_plus","Vote4_NA"
"R",0,"-",36600,1000,60450,500,"TX","C001048",7,"1956-08-24","SO",0.503,0.366,1,0,0
"R",0,"-",NA,NA,NA,NA,"TX",NA,NA,NA,"SO",NA,NA,1,0,0
"R",0,"-",36875,1250,40825,8000,"TX","T000238",10,"1958-07-15","SO",0.525,0.313,1,0,0
"D",0,"+",2000,0,0,0,"TX","H000636",9,"1940-08-20","SO",-0.34,0.235,0,1,0
"D",0,"+",15500,0,0,0,"TX","O000170",1,"1972-09-26","SO",-0.304,-0.331,0,1,0
"R",0,"-",95050,10400,69650,0,"TX","F000461",2,"1954-02-25","SO",0.572,0.293,1,0,0
"R",0,"-",21500,0,0,0,"TX","N000182",6,"1949-12-24","SO",0.628,0.322,1,0,0
"R",0,"-",50550,0,34300,0,"TX","S000583",14,"1947-11-19","SO",0.425,0.061,1,0,0
"R",0,"-",124200,0,137800,0,"TX","O000168",3,"1962-12-09","SO",0.548,0.308,1,0,0
"R",0,"-",48715,0,47200,0,"TX","M001158",5,"1951-02-23","SO",0.6,0.154,1,0,0
"R",0,"-",32100,0,26550,0,"TX","F000460",2,"1961-12-12","SO",0.548,0.016,1,0,0
"D",1,"+",46500,0,96450,2500,"TX","G000410",11,"1947-10-17","SO",-0.324,0.453,0,1,0
"R",0,"-",23300,250,45666,0,"UT","B001250",6,"1951-07-13","WE",0.537,0.105,1,0,0
"R",0,"-",13250,0,16500,0,"UT","C001076",3,"1967-03-26","WE",0.647,-0.278,1,0,0
"R",0,"-",NA,NA,NA,NA,"VA",NA,NA,NA,"SO",NA,NA,1,0,0
"R",0,"-",NA,NA,NA,NA,"VA",NA,NA,NA,"SO",NA,NA,1,0,0
"R",0,"-",24000,0,32950,0,"VA","G000289",11,"1952-09-22","SO",0.496,-0.002,1,0,0
"D",0,"+",1250,0,0,0,"WA","M000404",13,"1936-12-28","WE",-0.666,-0.197,0,1,0
"R",1,"-",5750,1000,10000,6500,"WA","R000578",5,"1950-08-29","WE",0.224,-0.146,1,0,0
"D",0,"+",3500,0,3000,0,"WA","H001064",1,"1952-07-29","WE",-0.312,-0.128,0,1,0
"R",0,"-",NA,NA,NA,NA,"WI",NA,NA,NA,"MW",NA,NA,1,0,0
"R",0,"-",23000,0,18850,0,"WI","D000614",2,"1971-10-03","MW",0.511,-0.109,1,0,0
"R",0,"-",20800,0,NA,NA,"WI","R000587",2,"1956-04-05","MW",0.603,-0.333,1,0,0
"R",0,"-",4500,2600,17500,0,"AL","B001289",1,"1955-02-16","SO",0.61,0.25,1,0,0
"R",0,"-",NA,NA,NA,NA,"AZ",NA,NA,NA,"WE",NA,NA,1,0,0
"R",1,"-",NA,NA,28800,0,"CA","K000387",0,"1966-12-17","WE",0.397,0.188,1,0,0
"R",0,"-",NA,NA,24500,2000,"CA","W000820",0,"1962-05-14","WE",0.433,0.177,1,0,0
"R",0,"+",NA,NA,44500,2750,"FL","C001107",0,"1980-03-01","SO",0.211,-0.185,0,1,0
"R",0,"-",NA,NA,12300,1500,"IA","B001294",0,"1955-04-26","MW",0.527,-0.488,1,0,0
"R",0,"-",NA,NA,21900,7000,"IA","Y000066",0,"1968-05-11","MW",0.442,-0.038,1,0,0
"R",0,"-",NA,NA,12000,0,"LA","A000374",0,"1954-09-16","SO",0.541,0.257,1,0,0
"R",0,"-",NA,NA,27250,2650,"ME","P000611",0,"1953-11-01","NE",0.36,-0.182,1,0,0
"R",0,"-",NA,NA,23200,3504,"MI","B001293",0,"1967-03-18","MW",0.451,0.095,1,0,0
"R",0,"-",NA,NA,8500,0,"MI","T000475",0,"1960-10-16","MW",0.369,0.257,1,0,0
"R",0,"-",NA,NA,28100,0,"NJ","M001193",0,"1960-10-16","NE",0.206,0.274,1,0,0
"R",0,"-",NA,NA,9000,0,"NY","D000625",0,"1956-11-06","NE",0.227,0.095,1,0,0
"R",0,"-",NA,NA,NA,NA,"NC",NA,NA,NA,"SO",NA,NA,1,0,0
"R",0,"-",NA,NA,45750,0,"OK","R000604",0,"1963-05-25","SO",0.473,-0.183,1,0,0
"R",1,"-",NA,NA,36200,7000,"PA","C001106",0,"1976-09-07","NE",0.217,-0.055,1,0,0
"R",0,"-",NA,NA,23500,0,"TX","R000601",0,"1965-10-20","SO",0.693,0.113,1,0,0
"R",0,"-",NA,NA,130656,3033,"TX","H001073",0,"1977-08-19","SO",0.287,0.228,1,0,0
"R",0,"-",NA,NA,24465,0,"UT","L000584",0,"1975-12-06","WE",0.542,-0.056,1,0,0
"R",0,"-",0,0,9875,1250,"VA","B001290",1,"1964-07-27","SO",0.829,-0.325,1,0,0
"R",0,"-",NA,NA,36500,250,"VA","C001105",0,"1959-06-30","SO",0.276,0.389,1,0,0
"R",0,"-",NA,NA,27500,0,"WV","J000297",0,"1960-09-12","SO",0.315,0.308,1,0,0
"R",0,NA,NA,NA,NA,NA,"FL","R000607",0,"1953-12-04","SO",0.501,-0.494,NA,NA,1
"R",0,NA,NA,NA,NA,NA,"GA","H001078",0,"1962-04-18","SO",0.493,0.305,NA,NA,1
"R",0,NA,NA,NA,NA,NA,"KS",NA,NA,NA,"MW",NA,NA,NA,NA,1
"R",0,NA,NA,NA,NA,NA,"MI","M001201",0,"1961-05-08","MW",0.422,0.311,NA,NA,1
"R",0,NA,NA,NA,NA,NA,"MN","L000587",0,"1955-09-23","MW",0.506,-0.197,NA,NA,1
"R",0,NA,NA,NA,NA,NA,"MT","G000584",0,"1961-04-17","WE",0.431,0.085,NA,NA,1
"D",0,NA,NA,NA,NA,NA,"NV",NA,NA,NA,"WE",NA,NA,NA,NA,1
"D",0,NA,NA,NA,NA,NA,"NV","K000390",0,"1980-04-25","WE",-0.397,0.226,NA,NA,1
"R",0,NA,NA,NA,NA,NA,"NY","F000464",0,"1952-08-25","NE",0.234,-0.008,NA,NA,1
"R",0,NA,NA,NA,NA,NA,"VA","T000477",0,"1979-06-27","SO",0.456,0.021,NA,NA,1
