"party","Vote_change_dummy","Vote6","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_6_minus","Contribution_6_plus","state","BioID","seniority_116","birthday","Geographical","nominate_dim1","nominate_dim2","Vote6_minus","Vote6_plus","Vote6_NA"
"R",0,NA,44250,0,34050,0,NA,NA,"TX","P000592",7,1948,"SO",0.594,-0.029,NA,NA,1
"R",0,NA,18000,0,7000,1000,NA,NA,"TX","J000174",14,1930,"SO",0.61,0.277,NA,NA,1
"R",0,NA,22100,0,25650,0,NA,NA,"TX","H001036",8,1957,"SO",0.703,0.04,NA,NA,1
"R",0,NA,84500,0,63650,0,NA,NA,"TX","B000213",16,1949,"SO",0.528,0.047,NA,NA,1
"R",0,NA,36600,1000,60450,500,NA,NA,"TX","C001048",9,1956,"SO",0.503,0.366,NA,NA,1
"R",0,0,NA,NA,NA,NA,NA,NA,"TX",NA,NA,NA,"SO",NA,NA,1,0,0
"R",0,0,36875,1250,40825,8000,43075,0,"TX","T000238",13,1958,"SO",0.525,0.313,1,0,0
"D",0,NA,2000,0,0,0,NA,NA,"TX","H000636",10,1940,"SO",-0.34,0.235,NA,NA,1
"D",0,NA,15500,0,0,0,NA,NA,"TX","O000170",3,1972,"SO",-0.304,-0.331,NA,NA,1
"R",0,0,95050,10400,69650,0,57000,250,"TX","F000461",5,1954,"SO",0.572,0.293,1,0,0
"R",0,NA,21500,0,0,0,NA,NA,"TX","N000182",7,1949,"SO",0.628,0.322,NA,NA,1
"R",0,NA,50550,0,34300,0,NA,NA,"TX","S000583",16,1947,"SO",0.425,0.061,NA,NA,1
"R",0,0,124200,0,137800,0,85188,0,"TX","O000168",6,1962,"SO",0.548,0.308,1,0,0
"R",0,0,48715,0,47200,0,18761,0,"TX","M001158",8,1951,"SO",0.6,0.154,1,0,0
"R",0,NA,32100,0,26550,0,NA,NA,"TX","F000460",4,1961,"SO",0.548,0.016,NA,NA,1
"D",1,NA,46500,0,96450,2500,NA,NA,"TX","G000410",13,1947,"SO",-0.324,0.453,NA,NA,1
"R",0,0,23300,250,45666,0,NA,NA,"UT","B001250",9,1951,"WE",0.537,0.105,1,0,0
"R",0,NA,13250,0,16500,0,NA,NA,"UT","C001076",5,1967,"WE",0.647,-0.278,NA,NA,1
"R",0,NA,NA,NA,NA,NA,NA,NA,"VA",NA,NA,NA,"SO",NA,NA,NA,NA,1
"R",0,NA,NA,NA,NA,NA,NA,NA,"VA",NA,NA,NA,"SO",NA,NA,NA,NA,1
"R",0,NA,24000,0,32950,0,NA,NA,"VA","G000289",13,1952,"SO",0.496,-0.002,NA,NA,1
"D",0,NA,1250,0,0,0,NA,NA,"WA","M000404",14,1936,"WE",-0.666,-0.197,NA,NA,1
"R",1,NA,5750,1000,10000,6500,NA,NA,"WA","R000578",7,1950,"WE",0.224,-0.146,NA,NA,1
"D",0,1,3500,0,3000,0,1000,0,"WA","H001064",4,1952,"WE",-0.312,-0.128,0,1,0
"R",0,0,NA,NA,NA,NA,NA,NA,"WI",NA,NA,NA,"MW",NA,NA,1,0,0
"R",0,0,23000,0,18850,0,13300,0,"WI","D000614",5,1971,"MW",0.511,-0.109,1,0,0
"R",0,NA,20800,0,NA,NA,NA,NA,"WI","R000587",3,1956,"MW",0.603,-0.333,NA,NA,1
"R",0,0,4500,2600,17500,0,39700,8000,"AL","B001289",4,1955,"SO",0.61,0.25,1,0,0
"R",0,NA,NA,NA,NA,NA,NA,NA,"AZ",NA,NA,NA,"WE",NA,NA,NA,NA,1
"R",1,NA,NA,NA,28800,0,NA,NA,"CA","K000387",2,1966,"WE",0.397,0.188,NA,NA,1
"R",0,NA,NA,NA,24500,2000,NA,NA,"CA","W000820",2,1962,"WE",0.433,0.177,NA,NA,1
"R",0,NA,NA,NA,44500,2750,NA,NA,"FL","C001107",2,1980,"SO",0.211,-0.185,NA,NA,1
"R",0,NA,NA,NA,12300,1500,NA,NA,"IA","B001294",2,1955,"MW",0.527,-0.488,NA,NA,1
"R",0,NA,NA,NA,21900,7000,NA,NA,"IA","Y000066",2,1968,"MW",0.442,-0.038,NA,NA,1
"R",0,0,NA,NA,12000,0,0,0,"LA","A000374",3,1954,"SO",0.541,0.257,1,0,0
"R",0,NA,NA,NA,27250,2650,NA,NA,"ME","P000611",2,1953,"NE",0.36,-0.182,NA,NA,1
"R",0,NA,NA,NA,23200,3504,NA,NA,"MI","B001293",2,1967,"MW",0.451,0.095,NA,NA,1
"R",0,NA,NA,NA,8500,0,NA,NA,"MI","T000475",2,1960,"MW",0.369,0.257,NA,NA,1
"R",0,NA,NA,NA,28100,0,NA,NA,"NJ","M001193",2,1960,"NE",0.206,0.274,NA,NA,1
"R",0,NA,NA,NA,9000,0,NA,NA,"NY","D000625",2,1956,"NE",0.227,0.095,NA,NA,1
"R",0,0,NA,NA,NA,NA,NA,NA,"NC",NA,NA,NA,"SO",NA,NA,1,0,0
"R",0,NA,NA,NA,45750,0,NA,NA,"OK","R000604",2,1963,"SO",0.473,-0.183,NA,NA,1
"R",1,NA,NA,NA,36200,7000,NA,NA,"PA","C001106",2,1976,"NE",0.217,-0.055,NA,NA,1
"R",0,0,NA,NA,23500,0,5000,0,"TX","R000601",3,1965,"SO",0.693,0.113,1,0,0
"R",0,0,NA,NA,130656,3033,119847,250,"TX","H001073",3,1977,"SO",0.287,0.228,1,0,0
"R",0,NA,NA,NA,24465,0,NA,NA,"UT","L000584",2,1975,"WE",0.542,-0.056,NA,NA,1
"R",0,NA,0,0,9875,1250,NA,NA,"VA","B001290",3,1964,"SO",0.829,-0.325,NA,NA,1
"R",0,NA,NA,NA,36500,250,NA,NA,"VA","C001105",2,1959,"SO",0.276,0.389,NA,NA,1
"R",0,NA,NA,NA,27500,0,NA,NA,"WV","J000297",2,1960,"SO",0.315,0.308,NA,NA,1
"R",0,1,NA,NA,NA,NA,0,0,"FL","R000607",2,1953,"SO",0.501,-0.494,0,1,0
"R",0,NA,NA,NA,NA,NA,NA,NA,"GA","H001078",1,1962,"SO",0.493,0.305,NA,NA,1
"R",0,0,NA,NA,NA,NA,NA,NA,"KS",NA,NA,NA,"MW",NA,NA,1,0,0
"R",0,0,NA,NA,NA,NA,14000,0,"MI","M001201",2,1961,"MW",0.422,0.311,1,0,0
"R",0,NA,NA,NA,NA,NA,NA,NA,"MN","L000587",1,1955,"MW",0.506,-0.197,NA,NA,1
"R",0,0,NA,NA,NA,NA,36711,0,"MT","G000584",2,1961,"WE",0.431,0.085,1,0,0
"D",0,NA,NA,NA,NA,NA,NA,NA,"NV",NA,NA,NA,"WE",NA,NA,NA,NA,1
"D",0,NA,NA,NA,NA,NA,NA,NA,"NV","K000390",1,1980,"WE",-0.397,0.226,NA,NA,1
"R",0,NA,NA,NA,NA,NA,NA,NA,"NY","F000464",1,1952,"NE",0.234,-0.008,NA,NA,1
"R",0,NA,NA,NA,NA,NA,NA,NA,"VA","T000477",1,1979,"SO",0.456,0.021,NA,NA,1
