District,Party,"Member_of_Congress",BioID,GovtrackID,"2021_Score","Lifetime_Score","Certifying","Certifying","Impeachment","Protecting","Votin","Protecting","Protecting","Washington","Increasing","Corporate","Repealing","Removing","Investing","Building","Investing in Transportation and Water Infrastructure  (208)","Protecting People from PFAS (217)","Pro-Environment Funding Package (247)","Restoring the Voting Rights Act (260)","Taking Action on PFAS Contamination  (272)","Censuring Paul Gosar (379)","Transformative Climate, Jobs, and Justice Investments (2x Score) (385)","Transformative Climate, Jobs, and Justice Investments  (385)","Supporting Tribal Management of Bison (427)"
IN-05,R,"Spartz, Victoria",S000929,456822,22,22,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
IN-06,R,"Pence, Greg",P000615,412778,13,11,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
IN-07,D,"Carson, Andre",C001072,412258,100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IN-08,R,"Bucshon, Larry",B001275,412427,17,7,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
IN-09,R,"Hollingsworth, Trey",H001074,412703,22,16,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
NC-01,D,"Butterfield, G.K.",B001251,400616,100,91,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NC-02,D,"Ross, Deborah",R000305,456831,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NC-03,R,"Murphy, Greg",M001210,412845,22,16,+,-,?,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,+,-,-,-,+
NC-04,D,"Price, David",P000523,400326,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NC-05,R,"Foxx, Virginia",F000450,400643,9,4,+,-,-,?,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-
NC-06,D,"Manning, Kathy",M001135,456832,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NC-07,R,"Rouzer, David",R000603,412641,13,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,?,-,+,-,-,-,+
NC-08,R,"Hudson, Richard",H001067,412550,22,4,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,-,+,-,-,-,+
NC-09,R,"Bishop, Dan",B001311,412844,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NC-10,R,"McHenry, Patrick",M001156,400644,17,6,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
NC-11,R,"Cawthorn, Madison",C001104,456833,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
NC-12,D,"Adams, Alma",A000370,412607,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NC-13,R,"Budd, Ted",B001305,412712,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VA-01,R,"Wittman, Rob",W000804,412255,13,11,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
VA-02,D,"Luria, Elaine",L000591,412830,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
VA-03,D,"Scott, Robert",S000185,400364,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
VA-04,D,"McEachin, A. Donald",M001200,412728,96,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,?
VA-05,R,"Good, Robert",G000595,456853,0,0,-,-,-,-,-,-,-,-,-,-,-,?,?,-,-,?,-,-,-,-,-,-,-
VA-06,R,"Cline, Ben",C001118,412832,4,1,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VA-07,D,"Spanberger, Abigail",S001209,412833,96,96,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+
VA-08,D,"Beyer, Donald",B001292,412657,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
VA-09,R,"Griffith, Morgan",G000568,412485,9,6,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,?,-,-,+
VA-10,D,"Wexton, Jennifer",W000825,412834,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
VA-11,D,"Connolly, Gerald",C001078,412272,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WA-01,D,"DelBene, Suzan",D000617,412505,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WA-02,D,"Larsen, Rick",L000560,400232,96,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,?
WA-03,R,"Herrera-Beutler, Jaime",H001056,412486,35,13,+,+,+,-,-,-,-,-,+,-,-,+,-,-,-,+,-,-,+,-,-,-,+
WA-04,R,"Newhouse, Dan",N000189,412660,26,7,+,+,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
WA-05,R,"McMorris Rodgers, Cathy",M001159,400659,22,5,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
WA-06,D,"Kilmer, Derek",K000381,412583,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WA-07,D,"Jayapal, Pramila",J000298,412730,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WA-08,D,"Schrier, Kim",S001216,412835,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WA-09,D,"Smith, Adam",S000510,400379,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WA-10,D,"Strickland, Marilyn",S001159,456854,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WV-01,R,"McKinley, David",M001180,412487,26,9,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+
WV-02,R,"Mooney, Alex",M001195,412662,9,4,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
WV-03,R,"Miller, Carol",M001205,412837,9,11,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
DE-AL,D,"Blunt Rochester, Lisa",B001303,412689,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
KY-01,R,"Comer, James",C001108,412676,13,6,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KY-02,R,"Guthrie, Brett",G000558,412278,22,6,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
KY-03,D,"Yarmuth, John",Y000062,412211,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
KY-04,R,"Massie, Thomas",M001184,412503,9,10,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KY-05,R,"Rogers, Harold",R000395,400340,9,8,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
KY-06,R,"Barr, Garland",B001282,412541,17,4,+,+,-,-,-,-,-,-,+,-,?,-,-,-,-,-,-,-,-,-,-,-,+
RI-01,D,"Cicilline, David",C001084,412470,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
RI-02,D,"Langevin, Jim",L000559,400230,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
SC-01,R,"Mace, Nancy",M000194,456843,35,35,+,+,-,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,+,-,-,-,+
SC-02,R,"Wilson, Joe",W000795,400433,9,3,-,-,-,-,-,-,?,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
SC-03,R,"Duncan, Jeff",D000615,412472,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
SC-04,R,"Timmons, William",T000480,412815,9,9,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
SC-05,R,"Norman, Ralph",N000190,412738,0,2,-,-,-,-,-,-,-,-,-,-,-,-,?,-,-,-,-,-,-,-,-,-,-
SC-06,D,"Clyburn, James",C000537,400075,100,86,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
SC-07,R,"Rice, Tom",R000597,412572,4,3,-,-,+,-,-,-,-,-,-,-,-,-,-,-,?,-,-,-,-,-,-,-,-
MS-01,R,"Kelly, Trent",K000388,412673,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
MS-02,D,"Thompson, Bennie",T000193,400402,96,83,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MS-03,R,"Guest, Michael",G000591,412793,0,7,-,-,-,-,-,-,-,-,-,-,-,?,-,-,-,-,-,-,-,-,-,-,-
MS-04,R,"Palazzo, Steven",P000601,412443,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
ME-01,D,"Pingree, Chellie",P000597,412307,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
ME-02,D,"Golden, Jared",G000592,412842,91,94,+,+,+,+,+,+,+,+,n/a,+,+,+,+,+,+,+,+,+,+,+,-,-,+
ID-01,R,"Fulcher, Russ",F000469,412773,11,6,-,-,-,-,-,-,-,-,+,-,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,+
ID-02,R,"Simpson, Mike",S001148,400376,26,10,+,+,-,+,-,-,-,-,+,-,-,+,?,-,-,-,-,-,-,-,-,-,+
NE-01,R,"Fortenberry, Jeff",F000449,400640,30,21,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,-,+,-,-,-,+
NE-02,R,"Bacon, Don",B001298,412713,26,17,+,+,-,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
NE-03,R,"Smith, Adrian",S001172,412217,9,4,-,-,-,-,-,-,-,?,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
KS-01,R,"Mann, Tracey",M000871,456823,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KS-02,R,"LaTurner, Jake",L000266,456824,9,9,-,?,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
KS-03,D,"Davids, Sharice",D000629,412780,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
KS-04,R,"Estes, Ron",E000298,412735,4,4,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SD-AL,R,"Johnson, Dusty",J000301,412816,17,11,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
VT-AL,D,"Welch, Peter",W000800,412239,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
